Scenario,River,Nodes and Reaches,Year,Week,Streamflow[Cubic Meter]
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,50,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,51,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2007,52,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,1,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,2,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,3,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,4,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,5,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,6,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,7,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,8,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,9,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,10,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,11,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,12,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,13,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,14,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,15,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,16,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,17,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,18,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,19,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,20,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,21,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,22,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,23,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,24,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,25,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,26,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,27,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,28,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,29,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,30,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,31,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,32,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,33,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,34,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,35,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,36,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,37,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,38,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,39,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,40,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,41,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,42,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,43,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,44,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,45,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,46,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,47,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,48,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,49,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,50,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,51,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2008,52,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,1,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,2,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,3,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,4,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,5,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,6,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,7,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,8,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,9,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,10,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,11,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,12,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,13,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,14,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,15,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,16,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,17,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,18,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,19,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,20,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,21,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,22,0
ReferenceFinal,All,Ac_Lg_Neg   0 \ Headflow,2009,23,0
